"";"FID";"lat";"lon";"data_1"
"7434";7433;58.3663814;26.7286008;1946
"7435";7434;58.3668772;26.7326752;1900
"7436";7435;58.3665037;26.7291395;1900
"7437";7436;58.3669794;26.735471;1981
"7438";7437;58.3666603;26.7289818;1900
"7439";7438;58.3666723;26.7292573;1900
"7440";7439;58.3668825;26.7265876;1900
"7441";7440;58.3670857;26.7397361;1961
"7442";7441;58.366655;26.7308975;1919
"7443";7442;58.3672639;26.7402312;1946
"7444";7443;58.3664993;26.7314317;1946
"7445";7444;58.3664417;26.7312065;1961
"7446";7445;58.366652;26.7318709;1919
"7447";7446;58.3665164;26.7336208;1961
"7448";7447;58.3670874;26.7266714;1919
"7449";7448;58.3666968;26.7336009;1900
"7450";7449;58.3666796;26.7268294;1900
"7451";7450;58.3667092;26.7342698;1900
"7452";7451;58.3667188;26.7354848;1946
"7453";7452;58.3667193;26.7358782;1946
"7454";7453;58.3744893;26.7318107;1900
"7455";7454;58.3666436;26.7373271;1981
"7456";7455;58.3666609;26.7394314;1919
"7457";7456;58.3671881;26.7269707;1900
"7458";7457;58.3744893;26.7318107;1900
"7459";7458;58.3744893;26.7318107;1946
"7460";7459;58.3669251;26.7418124;1919
"7461";7460;58.3664272;26.7268778;1900
"7462";7461;58.3669005;26.7269994;1900
"7463";7462;58.3665075;26.7272944;1900
"7464";7463;58.366891;26.727443;1900
"7465";7464;58.3666791;26.7276842;1900
"7466";7465;58.3665058;26.7277896;1919
"7467";7466;58.3595562;26.7824606;1996
"7468";7467;58.3594283;26.7846408;1996
"7469";7468;58.3596097;26.786619;1996
"7470";7469;58.3587543;26.7911866;1900
"7471";7470;58.3998198;26.7267767;1996
"7472";7471;58.399421;26.7265078;1900
"7473";7472;58.3553766;26.7882678;1996
"7474";7473;58.3554693;26.7889938;1991
"7475";7474;58.3549868;26.7892301;1900
"7476";7475;58.3540049;26.7873387;1900
"7477";7476;58.3547574;26.7894496;1996
"7478";7477;58.3478923;26.7762922;1900
"7479";7478;58.3478607;26.7765132;1996
"7480";7479;58.3477917;26.7771556;1981
"7481";7480;58.3479906;26.7779237;1961
"7482";7481;58.348605;26.7740937;1971
"7483";7482;58.3472456;26.7811974;1981
"7484";7483;58.3461462;26.7850256;1971
"7485";7484;58.3463611;26.7855376;1981
"7486";7485;58.3485441;26.7744312;1971
"7487";7486;58.3495736;26.7890053;1981
"7488";7487;58.349251;26.7893391;1971
"7489";7488;58.3550987;26.7836988;1900
"7490";7489;58.3549487;26.7840293;1991
"7491";7490;58.3744893;26.7318107;1996
"7492";7491;58.3586753;26.7907191;1900
"7493";7492;58.3584682;26.7903263;1996
"7494";7493;58.3672063;26.7424995;1900
"7495";7494;58.3678887;26.7420912;1900
"7496";7495;58.366509;26.7419329;1946
"7497";7496;58.3663796;26.7420757;1900
"7498";7497;58.3661353;26.7421614;1919
"7499";7498;58.3664696;26.7429374;1919
"7500";7499;58.3658744;26.742192;1919
"7501";7500;58.3655833;26.7418948;1900
"7502";7501;58.3679605;26.7424903;1900
"7503";7502;58.3674674;26.7420415;1900
"7504";7503;58.367871;26.7425003;1919
"7505";7504;58.3672147;26.7421067;1900
"7506";7505;58.3666557;26.7421651;1919
"7507";7506;58.3674657;26.7425366;1919
"7508";7507;58.3663398;26.7418518;1900
"7509";7508;58.3981721;26.7286518;1900
"7510";7509;58.3978791;26.7284422;1900
"7511";7510;58.3981727;26.7282071;1900
"7512";7511;58.3988512;26.7283957;1971
"7513";7512;58.3462325;26.7823678;1971
"7514";7513;58.3486982;26.7875527;1946
"7515";7514;58.3470783;26.7839536;1981
"7516";7515;58.3488198;26.7848437;1971
"7517";7516;58.3459483;26.7817626;1971
"7518";7517;58.3460677;26.7820804;1971
"7519";7518;58.3739977;26.7766402;1900
"7520";7519;58.374527;26.7779474;1991
"7521";7520;58.3749668;26.7783756;1991
"7522";7521;58.3755358;26.7782676;1996
"7523";7522;58.3744893;26.7318107;1900
"7524";7523;58.3744893;26.7318107;1900
"7525";7524;58.3744893;26.7318107;1900
"7526";7525;58.374998;26.7769427;1991
"7527";7526;58.374429;26.7770507;1991
"7528";7527;58.3604828;26.6838948;1996
"7529";7528;58.3612513;26.6840552;1971
"7530";7529;58.3821902;26.7514676;1981
"7531";7530;58.3846065;26.7536245;1971
"7532";7531;58.3856168;26.7538083;1946
"7533";7532;58.3847218;26.7548993;1971
"7534";7533;58.3858025;26.7539587;1946
"7535";7534;58.3852502;26.7541902;1946
"7536";7535;58.3851059;26.7546065;1946
"7537";7536;58.3865512;26.7538615;1946
"7538";7537;58.3854511;26.7544608;1946
"7539";7538;58.3852916;26.7551676;1946
"7540";7539;58.3831274;26.7513199;1971
"7541";7540;58.3866117;26.7547753;1946
"7542";7541;58.3828168;26.7519979;1971
"7543";7542;58.3864652;26.7553614;1946
"7544";7543;58.386649;26.7555315;1946
"7545";7544;58.3871454;26.7567145;1946
"7546";7545;58.3838803;26.7522679;1971
"7547";7546;58.3832479;26.7532464;1971
"7548";7547;58.384756;26.7528999;1991
"7549";7548;58.3836823;26.7539288;1971
"7550";7549;58.3840432;26.7542997;1971
"7551";7550;58.3833843;26.7544379;1971
"7552";7551;58.3744893;26.7318107;1900
"7553";7552;58.3842524;26.7558395;1971
"7554";7553;58.3744893;26.7318107;1981
"7555";7554;58.3828207;26.7555378;1981
"7556";7555;58.3744893;26.7318107;1981
"7557";7556;58.3851436;26.7557536;1946
"7558";7557;58.3824049;26.7527529;1961
"7559";7558;58.3839681;26.7565366;1981
"7560";7559;58.3744893;26.7318107;1946
"7561";7560;58.3853723;26.7568674;1946
"7562";7561;58.385589;26.7559951;1900
"7563";7562;58.3847971;26.7572669;1991
"7564";7563;58.3850155;26.75838;1946
"7565";7564;58.3858221;26.7589048;1946
"7566";7565;58.3824299;26.753661;1971
"7567";7566;58.3865204;26.7573509;1946
"7568";7567;58.3860303;26.7592467;1946
"7569";7568;58.3830006;26.7547137;1971
"7570";7569;58.3745893;26.7300576;1919
"7571";7570;58.3747318;26.7297261;1919
"7572";7571;58.3748164;26.7299394;1900
"7573";7572;58.3582439;26.7911292;1900
"7574";7573;58.3611089;26.698066;1971
"7575";7574;58.361258;26.6960767;1900
"7576";7575;58.3611702;26.6968567;1900
"7577";7576;58.3609621;26.6977633;1900
"7578";7577;58.3496961;26.6951244;1996
"7579";7578;58.3495282;26.6954001;1996
"7580";7579;58.3496345;26.6963502;1996
"7581";7580;58.3497013;26.6969862;1991
"7582";7581;58.3595369;26.792805;1900
"7583";7582;58.3597157;26.7908184;1996
"7584";7583;58.3592449;26.7922159;1900
"7585";7584;58.3595623;26.7912336;1900
"7586";7585;58.3598949;26.79126;1900
"7587";7586;58.3599633;26.7930256;1996
"7588";7587;58.360365;26.7927489;1996
"7589";7588;58.3655119;26.6818667;1991
"7590";7589;58.3646429;26.6817496;1961
"7591";7590;58.3648863;26.6817002;1981
"7592";7591;58.3744893;26.7318107;1900
"7593";7592;58.3615313;26.7949101;1900
"7594";7593;58.3788259;26.7193526;1900
"7595";7594;58.3744893;26.7318107;1900
"7596";7595;58.3744893;26.7318107;1900
"7597";7596;58.3744893;26.7318107;1900
"7598";7597;58.3744893;26.7318107;1946
"7599";7598;58.3744893;26.7318107;1946
"7600";7599;58.353124;26.6744254;1961
"7601";7600;58.3531867;26.6748376;1946
